"Pep"	"Molec"	"What"	"Value"	"DKL"	"tg"	"ba"
"pep3"	"DQ_7"	"Mode"	0.0110973420556826	1.20837486493405	NA	NA
"pep3"	"DQ_7"	"Median"	0.0888409674794991	1.20837486493405	NA	NA
"pep3"	"DQ_8"	"Mean"	0.207738752859232	0.685826698684467	NA	NA
"pep3"	"DQ_8"	"Mode"	0.108787844571016	0.685826698684467	NA	NA
"pep3"	"DQ_8"	"Median"	0.190080100138488	0.685826698684467	NA	NA
"pep3"	"DQ_9"	"Mean"	0.246256612370894	0.461269880200781	NA	NA
"pep3"	"DQ_9"	"Mode"	0.0439912831058331	0.461269880200781	NA	NA
"pep3"	"DQ_9"	"Median"	0.2115630872164	0.461269880200781	NA	NA
"pep4"	"DR_11"	"Mean"	0.140330432991632	0.975740247198431	NA	1
"pep4"	"DR_11"	"Mode"	0.0122113559352662	0.975740247198431	NA	1
"pep4"	"DR_11"	"Median"	0.111832086604266	0.975740247198431	NA	1
"pep4"	"DR_1"	"Mean"	0.101994745651517	1.293507417164	1	0
"pep4"	"DR_1"	"Mode"	0.00784175499468623	1.293507417164	1	0
"pep4"	"DR_1"	"Median"	0.0811242499163927	1.293507417164	1	0
"pep4"	"DR_4"	"Mean"	0.088441086562787	1.44149168164269	0	1
"pep4"	"DR_4"	"Mode"	0.00601399185136542	1.44149168164269	0	1
"pep4"	"DR_4"	"Median"	0.0718525962709476	1.44149168164269	0	1
"pep4"	"DR_15"	"Mean"	0.0530610648280144	1.9162368630357	0	0
"pep4"	"DR_15"	"Mode"	0.00268579737886151	1.9162368630357	0	0
"pep4"	"DR_15"	"Median"	0.039157485526156	1.9162368630357	0	0
"pep4"	"DR_13"	"Mean"	0.343507906652295	0.357970744822295	NA	1
"pep4"	"DR_13"	"Mode"	0.30880799746369	0.357970744822295	NA	1
"pep4"	"DR_13"	"Median"	0.332441362123307	0.357970744822295	NA	1
"pep4"	"DR_17"	"Mean"	0.121836547188182	1.11982148321129	NA	NA
"pep4"	"DR_17"	"Mode"	0.0101787131260457	1.11982148321129	NA	NA
"pep4"	"DR_17"	"Median"	0.0987405927577768	1.11982148321129	NA	NA
